Begin Time (s)	End Time (s)	Begin File	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	song	elm
24.3409011631757	24.5124885832585	Phaethornis-eurynome-15607.wav	35	Spectrogram 1	1	4520.25	8489.25	18	a
24.5395634318879	24.713350399975	Phaethornis-eurynome-15607.wav	36	Spectrogram 1	1	2976.75	10000	18	b
26.115210778508	26.2855737079493	Phaethornis-eurynome-15607.wav	37	Spectrogram 1	1	4079.25	8489.25	19	a
26.3118322294843	26.4855284945609	Phaethornis-eurynome-15607.wav	38	Spectrogram 1	1	2976.75	9591.75	19	b
27.6802458729015	27.8473434939653	Phaethornis-eurynome-15607.wav	39	Spectrogram 1	1	4520.25	8709.75	20	a
27.8821280984859	28.0495885315917	Phaethornis-eurynome-15607.wav	40	Spectrogram 1	1	3417.75	9150.75	20	b
29.3668456770959	29.5445101988811	Phaethornis-eurynome-15607.wav	41	Spectrogram 1	1	4520.25	6945.75	21	a
29.5629229100093	29.7432178190986	Phaethornis-eurynome-15607.wav	42	Spectrogram 1	1	3197.25	10000	21	b
30.531857819503	30.7111096439717	Phaethornis-eurynome-15607.wav	43	Spectrogram 1	1	4299.75	6945.75	22	a
30.7271414010747	30.8963251913797	Phaethornis-eurynome-15607.wav	44	Spectrogram 1	1	3197.25	9150.75	22	b
31.6534005441357	31.8367566798288	Phaethornis-eurynome-15607.wav	45	Spectrogram 1	1	4299.75	8930.25	23	a
31.8492963710282	32.0164166678447	Phaethornis-eurynome-15607.wav	46	Spectrogram 1	1	2976.75	9371.25	23	b
