Begin Time (s)	End Time (s)	Begin File	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	song	elm
0.773605976416694	0.951587958738615	Phaethornis-eurynome-15607.wav	1	Spectrogram 1	1	4079.25	8489.25	1	a
0.976417907858567	1.15172415137121	Phaethornis-eurynome-15607.wav	2	Spectrogram 1	1	2976.75	9150.75	1	b
2.80766633802211	2.98385693588697	Phaethornis-eurynome-15607.wav	3	Spectrogram 1	1	4299.75	6945.75	2	a
3.00864153350168	3.1845600223351	Phaethornis-eurynome-15607.wav	4	Spectrogram 1	1	2976.75	10000	2	b
4.20088725480655	4.38188511222706	Phaethornis-eurynome-15607.wav	5	Spectrogram 1	1	4079.25	6945.75	3	a
4.40066063539722	4.57197594644857	Phaethornis-eurynome-15607.wav	6	Spectrogram 1	1	3197.25	10000	3	b
4.96623925726922	5.14127339175041	Phaethornis-eurynome-15607.wav	7	Spectrogram 1	1	4740.75	8709.75	4	a
5.15379040719718	5.34456151399733	Phaethornis-eurynome-15607.wav	8	Spectrogram 1	1	3197.25	9812.25	4	b
5.95671613175278	6.11145546763822	Phaethornis-eurynome-15607.wav	9	Spectrogram 1	1	4079.25	8930.25	5	a
6.1550382641757	6.3234737546442	Phaethornis-eurynome-15607.wav	10	Spectrogram 1	1	2976.75	10000	5	b
7.42424548987611	7.5721140727174	Phaethornis-eurynome-15607.wav	11	Spectrogram 1	1	4079.25	8930.25	6	a
7.62567420040811	7.79615050861249	Phaethornis-eurynome-15607.wav	12	Spectrogram 1	1	3417.75	8709.75	6	b
8.85134398107627	8.99290870468893	Phaethornis-eurynome-15607.wav	13	Spectrogram 1	1	4079.25	8930.25	7	a
9.05163890397722	9.21801090095721	Phaethornis-eurynome-15607.wav	14	Spectrogram 1	1	3417.75	9371.25	7	b
10.9325472323807	11.0992820414026	Phaethornis-eurynome-15607.wav	15	Spectrogram 1	1	4520.25	8709.75	8	a
11.1295088196463	11.3076722079892	Phaethornis-eurynome-15607.wav	16	Spectrogram 1	1	3417.75	8709.75	8	b
12.1596909369692	12.3320493326411	Phaethornis-eurynome-15607.wav	17	Spectrogram 1	1	4299.75	8709.75	9	a
12.353954109673	12.5397365508965	Phaethornis-eurynome-15607.wav	18	Spectrogram 1	1	3417.75	8930.25	9	b
13.7748847961602	13.9464495404904	Phaethornis-eurynome-15607.wav	19	Spectrogram 1	1	4520.25	6725.25	10	a
13.9670391238702	14.1468351664018	Phaethornis-eurynome-15607.wav	20	Spectrogram 1	1	3197.25	10000	10	b
14.9783323392598	15.148581889938	Phaethornis-eurynome-15607.wav	21	Spectrogram 1	1	4520.25	6725.25	11	a
15.175566035557	15.3598745528601	Phaethornis-eurynome-15607.wav	22	Spectrogram 1	1	3417.75	8930.25	11	b
15.8591265983158	16.0284691188892	Phaethornis-eurynome-15607.wav	23	Spectrogram 1	1	4079.25	8930.25	12	a
16.0576074610071	16.2326189197357	Phaethornis-eurynome-15607.wav	24	Spectrogram 1	1	2976.75	10000	12	b
17.0458167602286	17.2202613251416	Phaethornis-eurynome-15607.wav	25	Spectrogram 1	1	4520.25	6725.25	13	a
17.2483339068864	17.4170641821389	Phaethornis-eurynome-15607.wav	26	Spectrogram 1	1	3197.25	9812.25	13	b
18.78482022873	18.9569065153705	Phaethornis-eurynome-15607.wav	27	Spectrogram 1	1	4520.25	8268.75	14	a
18.9840267155052	19.1547071054831	Phaethornis-eurynome-15607.wav	28	Spectrogram 1	1	3197.25	9812.25	14	b
20.2204901544209	20.3874970724743	Phaethornis-eurynome-15607.wav	29	Spectrogram 1	1	4079.25	8930.25	15	a
20.417723850718	20.6001502805537	Phaethornis-eurynome-15607.wav	30	Spectrogram 1	1	3197.25	10000	15	b
21.3777698651843	21.5452983255479	Phaethornis-eurynome-15607.wav	31	Spectrogram 1	1	4299.75	6725.25	16	a
21.5739151253556	21.7352077537485	Phaethornis-eurynome-15607.wav	32	Spectrogram 1	1	2976.75	9812.25	16	b
22.8028955659064	22.9586326349072	Phaethornis-eurynome-15607.wav	33	Spectrogram 1	1	4299.75	8709.75	17	a
22.9973628203838	23.179811925972	Phaethornis-eurynome-15607.wav	34	Spectrogram 1	1	3197.25	9812.25	17	b
